year,q1,q2,q3,q4
2001,88240,89202,90281,90628
2002,92250,92795,94487,100620
2003,104492,105987,108833,111740
2004,114063,117427,119872,126016
2005,125323,118770,118109,128739
2006,130112,130867,138013,144881
2007,143667,142526,142089,145971
2008,142942,145579,145191,142779
2009,141679,144962,147780,150792
2010,147656,148113,147510,153129
2011,151326,154734,154958,156365
2012,155313,158981,162456,167807
2013,160674,163992,163423,169631
2014,154223,157454,161888,167309
2015,161800,162346,162594,161744
2016,155135,153197,152395,152582
2017,144228,141320,139714,148177
2018,146067,143219,143235,138594
2019,134719,136175,143724,150194
2020,130349,135191,146203,151956
2021,149110,160697,151881,155025
2022,151655,144748,138864,135851
2023,118413,125015,132312,138170
